,price,location,baths,bedrooms,Total_Area
9845,165.0,CBR Town,6,5,1905.757
9846,165.0,CBR Town,6,5,1905.757
9847,240.0,DHA Defence,4,3,2994.7609999999995
9848,95.0,E-18,3,4,31036.614
9849,550.0,DHA Defence,5,5,5445.0
9850,155.0,G-13,4,4,1089.004
9851,120.0,I-12,6,4,1633.506
9853,290.0,G-13,7,5,1905.757
9854,250.0,Bahria Town,5,5,2722.51
9855,135.0,Bahria Town,3,3,1361.255
9856,270.0,G-13,6,4,2178.008
9857,480.0,DHA Defence,7,6,5445.0
9858,355.0,G-13,7,6,2722.51
9859,475.0,G-13,8,7,38659.642
9860,360.0,G-13,7,6,2722.51
9861,105.0,Royal Avenue,4,4,1361.255
9862,165.0,G-13,5,4,11979.043999999998
9863,265.0,G-13,6,5,2178.008
9864,160.0,Model Town,5,4,1905.757
9865,220.0,G-15,7,5,1905.757
9866,190.0,G-14,5,4,15246.056
9867,495.0,DHA Defence,6,5,5445.0
9868,45.0,Ghauri Town,2,2,9801.036
9869,210.0,G-11,4,4,15246.056
9870,285.0,Bahria Town,7,5,2722.51
9871,260.0,G-11,4,4,15246.056
9872,160.0,FECHS,6,6,2722.51
9873,23.0,DHA Defence,2,2,1361.255
9874,160.0,FECHS,6,6,3267.012
9875,350.0,DHA Defence,7,6,4356.016
9876,260.0,DHA Defence,4,3,5445.0
9877,28.0,DHA Defence,2,2,1361.255
9878,185.0,I-10,4,4,18240.817
9879,47.0,Al Huda Town,3,2,1633.506
9880,165.0,G-13,5,4,11979.043999999998
9881,260.0,G-13,5,4,2178.008
9882,160.0,PWD Housing Scheme,7,6,2450.259
9883,35.0,Koral Chowk,4,4,1361.255
9884,180.0,Bahria Town,5,5,2178.008
9885,155.0,G-13,4,4,11979.043999999998
9886,165.0,G-13,5,4,11979.043999999998
9887,72.0,Burma Town,5,4,1361.255
9888,250.0,G-13,6,5,2178.008
9889,1100.0,F-6,5,5,5445.0
9890,165.0,CBR Town,5,4,1905.757
9891,170.0,CBR Town,5,4,1905.757
9893,1450.0,F-7,7,6,5445.0
9894,2000.0,F-7,9,8,70785.0
9896,210.0,I-10,4,5,2450.259
