,price,location,baths,bedrooms,Total_Area
0,165.0,G-15,6,5,2178.008
1,435.0,Bani Gala,4,4,10890.0
2,70.0,DHA Defence,3,3,2178.008
3,345.0,Ghauri Town,8,8,87120.0
4,270.0,Korang Town,8,8,5445.0
5,500.0,DHA Defence,7,7,5445.0
6,190.0,DHA Defence,3,3,2722.51
7,800.0,DHA Defence,7,7,10890.0
8,269.0,B-17,6,6,5445.0
9,550.0,G-11,7,6,3811.514
10,45.0,Bhara kahu,3,3,1361.255
11,45.0,Garden Town,4,4,12795.797
12,68.0,Koral Town,4,4,1089.004
13,200.0,Soan Garden,5,6,3267.012
14,1000.0,F-6,5,5,48460.67799999999
15,2200.0,F-7,10,10,114345.0
16,45.0,Ghauri Town,3,2,1361.255
17,125.0,I-16,5,6,2178.008
18,2300.0,E-7,4,4,136125.0
19,388.0,Emaar Canyon Views,4,5,81675.0
20,465.0,G-13,9,9,29675.359
21,140.0,F-17,6,4,1905.757
22,325.0,Korang Town,9,7,3267.012
23,300.0,Bahria Town,7,6,2722.51
24,210.0,Bahria Town,6,5,2722.51
25,140.0,G-13,5,5,1089.004
26,145.0,Ghauri Town,5,4,1905.757
27,190.0,G-11,5,5,15246.056
28,65.0,DHA Defence,3,3,2178.008
29,185.0,DHA Defence,4,3,2722.51
31,155.0,PWD Housing Scheme,5,5,2722.51
32,1050.0,F-11,10,7,5445.0
33,310.0,G-13,10,8,2722.51
34,105.0,Kuri Road,4,3,2178.008
35,145.0,G-11,3,4,11979.043999999998
36,830.0,F-11,6,6,5445.0
37,130.0,Pakistan Town,4,4,3267.012
38,90.0,Chatha Bakhtawar,4,4,1361.255
39,650.0,G-11,6,6,5445.0
40,900.0,E-11,9,9,5445.0
41,800.0,F-10,6,6,5445.0
42,850.0,F-10,6,6,5445.0
43,850.0,F-11,6,6,5445.0
44,1050.0,F-7,5,4,70785.0
45,85.0,Bani Gala,5,5,1361.255
46,130.0,G-13,4,3,1361.255
47,320.0,B-17,10,8,5445.0
48,500.0,F-8,5,4,25319.343
49,210.0,Bahria Town,6,5,2722.51
50,800.0,F-8,5,5,5445.0
51,365.0,Bahria Town,7,6,5445.0
53,235.0,Bahria Town,6,5,2722.51
54,430.0,Bahria Town,8,6,5445.0
55,230.0,Bahria Town,6,5,2722.51
56,275.0,G-11,5,5,2178.008
57,950.0,F-11,9,9,5445.0
58,725.0,Bahria Town,7,6,10890.0
59,3200.0,F-8,10,10,196020.0
60,410.0,G-11,6,6,38659.642
61,120.0,Bhara kahu,4,4,2178.008
62,550.0,Emaar Canyon Views,7,7,98010.0
63,1400.0,F-11,6,9,10890.0
65,45.0,Lehtarar Road,3,2,1361.255
66,235.0,G-11,4,4,2178.008
67,379.0,G-9,6,6,38659.642
68,130.0,E-14,5,6,2722.51
69,1650.0,F-8,6,6,10890.0
70,850.0,F-10,7,6,70785.0
72,95.0,Soan Garden,3,3,2722.51
73,480.0,Bani Gala,8,8,81675.0
74,748.0,E-11,10,10,5445.0
76,280.0,Bahria Town,6,5,2994.7609999999995
77,85.0,I-14,3,4,816.7529999999999
78,220.0,DHA Defence,4,6,2722.51
79,42.0,Tarlai,3,5,1089.004
80,350.0,G-13,6,6,29675.359
81,140.0,PWD Housing Scheme,4,4,18240.817
82,43.0,Simly Dam Road,3,2,1361.255
83,360.0,DHA Defence,7,7,4356.016
84,3500.0,E-7,8,8,103455.0
85,1500.0,F-7,7,7,98010.0
87,165.0,I-9,4,5,1633.506
89,45.0,Burma Town,3,2,1089.004
90,400.0,Emaar Canyon Views,6,5,5445.0
91,400.0,PWD Housing Scheme,6,6,5445.0
92,47.0,Lehtarar Road,5,5,1361.255
93,1800.0,F-7,8,7,70785.0
94,140.0,F-17,6,4,1905.757
95,420.0,G-13,10,9,2994.7609999999995
96,225.0,Bani Gala,4,3,5172.768999999999
97,23.0,Burma Town,3,4,816.7529999999999
98,300.0,National Police Foundation O-9,7,4,5445.0
99,675.0,Naval Anchorage,8,7,10890.0
100,48.0,Islamabad Highway,2,2,1089.004
101,500.0,CBR Town,3,4,38659.642
102,380.0,E-11,7,7,2722.51
104,52.0,Ghauri Town,4,3,816.7529999999999
105,1700.0,F-7,4,4,119790.0
106,125.0,Bani Gala,4,4,2722.51
108,465.0,DHA Defence,6,5,5445.0
110,210.0,G-10,5,4,1361.255
111,135.0,Bahria Town,4,3,1361.255
112,1700.0,F-7,4,4,114345.0
113,27.0,Jhang Syedan,3,2,1089.004
115,580.0,I-8,6,6,5445.0
116,125.0,Korang Town,5,4,1361.255
117,175.0,G-15,3,2,2178.008
118,169.0,G-10,4,3,1633.506
119,220.0,DHA Defence,5,6,2722.51
120,219.0,DHA Defence,5,6,2722.51
121,220.0,DHA Defence,5,5,2722.51
122,30.0,Bhara kahu,2,2,1089.004
123,52.0,Ghauri Town,3,2,1089.004
124,140.0,D-17,5,5,1905.757
125,35.0,Ghauri Town,2,3,1361.255
128,26.0,Arsalan Town,1,2,1089.004
129,97.0,Kashmir Highway,6,4,14973.804999999998
130,145.0,I-10,2,4,1361.255
131,130.0,B-17,6,6,19874.323
132,75.0,Soan Garden,4,3,2178.008
134,1700.0,F-7,6,6,114345.0
135,142.0,Pir Sohawa,2,2,1905.757
136,135.0,Ghauri Town,5,3,2994.7609999999995
137,197.0,Pir Sohawa,2,2,26408.347
138,256.0,Pir Sohawa,3,3,43287.909
139,43.0,DHA Defence,2,2,1361.255
140,85.0,Bani Gala,6,4,1905.757
141,115.0,B-17,6,4,2178.008
142,3500.0,F-8,9,8,27225.0
143,3500.0,F-6,10,11,234135.0
144,210.0,Bahria Town,6,5,2722.51
145,230.0,Bahria Town,6,5,2722.51
146,400.0,Bahria Town,7,6,5445.0
147,430.0,Bahria Town,7,6,5445.0
148,235.0,Bahria Town,6,5,2722.51
149,38.0,Ali Pur,2,3,1361.255
150,850.0,E-11,9,7,5445.0
151,90.0,FECHS,3,4,1361.255
152,220.0,DHA Defence,5,6,2722.51
153,1700.0,E-11,6,6,114345.0
154,1900.0,F-8,9,9,70785.0
156,140.0,Pakistan Town,5,4,1633.506
157,140.0,Pakistan Town,5,4,1633.506
158,520.0,E-11,6,6,4356.016
159,130.0,Pakistan Town,5,4,1633.506
160,63.0,Shaheen Town,3,3,11979.043999999998
161,150.0,Ghauri Town,6,5,1633.506
162,360.0,E-11,7,5,27497.351
164,210.0,Ghauri Town,7,7,2722.51
165,640.0,E-11,10,7,4900.518
166,500.0,Bani Gala,9,6,70785.0
167,550.0,DHA Defence,5,5,5445.0
168,420.0,Bahria Town,7,6,5445.0
169,380.0,Bahria Town,6,5,5445.0
170,225.0,Bahria Town,6,5,2722.51
171,53.0,Ali Pur,2,2,11434.542
172,220.0,DHA Defence,5,6,2722.51
173,25.5,Islamabad Highway,2,1,816.7529999999999
174,140.0,Bahria Town,3,3,1361.255
175,230.0,G-13,4,4,29675.359
176,215.0,E-11,7,6,1633.506
177,18.0,Bhara kahu,2,2,6806.275
179,90.0,F-17,5,4,1905.757
181,170.0,G-15,5,5,1905.757
182,155.0,Chak Shahzad,9,9,1905.757
183,140.0,H-13,6,5,20418.825
184,22.5,Lehtarar Road,2,2,816.7529999999999
185,140.0,FECHS,6,5,1905.757
186,315.0,E-11,7,6,2722.51
187,220.0,DHA Defence,5,6,2722.51
188,87.0,H-13,4,4,816.7529999999999
189,140.0,FECHS,6,5,2178.008
190,67.0,Ghauri Town,3,2,1905.757
191,415.0,Bahria Town,7,7,4356.016
192,285.0,G-14,6,5,2722.51
193,345.0,G-13,9,7,29675.359
194,250.0,Bani Gala,4,4,70785.0
195,250.0,National Police Foundation,9,6,5445.0
196,46.0,H-13,4,3,1089.004
197,375.0,Bhara kahu,5,4,10890.0
199,215.0,Shah Allah Ditta,4,4,2722.51
200,188.0,Bhara kahu,5,5,59895.0
201,65.0,Chatha Bakhtawar,4,3,1361.255
202,175.0,Bani Gala,8,6,2450.259
203,70.0,Islamabad Expressway,3,3,5445.0
204,57.0,Kashmir Highway,3,3,31853.367
205,170.0,Ghauri Town,7,5,2722.51
207,625.0,Bahria Town,7,5,98010.0
208,370.0,Naval Anchorage,6,6,5445.0
209,170.0,Margalla Town,5,5,1633.506
210,76.0,Ghauri Town,3,2,1633.506
211,130.0,Bahria Town,3,3,1361.255
212,375.0,Tarnol,6,6,65340.0
213,88.0,H-15,3,4,1361.255
214,90.0,FECHS,2,2,1905.757
215,42.0,Ali Pur,3,3,12251.294999999998
216,140.0,Bahria Town,3,3,1361.255
217,350.0,G-8,5,5,2178.008
218,280.0,G-15,4,4,2178.008
220,100.0,Shaheen Town,7,5,40020.897
221,120.0,Soan Garden,3,3,38659.642
222,36.0,D-13,2,4,2178.008
223,110.0,H-13,5,5,1361.255
224,258.0,G-15,7,7,3811.514
225,320.0,G-9,4,5,38659.642
226,380.0,DHA Defence,6,5,5445.0
227,415.0,G-13,8,7,38659.642
228,65.0,Ghauri Town,2,2,1361.255
230,900.0,F-6,6,6,48460.67799999999
231,170.0,CBR Town,4,4,2994.7609999999995
234,625.0,Bahria Town,6,5,98010.0
235,510.0,E-11,7,6,4356.016
236,115.0,Ghauri Town,6,4,1633.506
237,220.0,DHA Defence,5,6,2722.51
238,92.0,Shaheen Town,6,4,1361.255
239,250.0,National Police Foundation O-9,6,6,5445.0
240,120.0,Ghauri Town,6,6,1361.255
241,130.0,Pakistan Town,5,4,1633.506
242,2000.0,F-7,10,9,10890.0
243,160.0,Meherban Colony,5,5,2178.008
244,130.0,Zaraj Housing Scheme,5,4,2722.51
245,900.0,E-11,8,6,5445.0
246,500.0,DHA Defence,6,6,5445.0
247,410.0,G-9,3,5,3811.514
248,975.0,F-8,7,7,70785.0
249,225.0,G-11,5,6,1361.255
250,850.0,F-11,6,7,5445.0
251,130.0,Ghauri Town,7,6,1905.757
252,150.0,G-13,6,5,1089.004
253,110.0,Multi Residencia & Orchards,5,4,2178.008
254,560.0,Bhara kahu,10,11,59895.0
255,600.0,F-10,7,7,5445.0
257,165.0,I-10,4,5,1633.506
258,300.0,Bahria Town,7,4,2722.51
259,230.0,Soan Garden,6,6,4083.765
260,45.0,Jhangi Syedan,3,3,1089.004
261,300.0,DHA Defence,6,6,4900.518
262,750.0,E-11,8,7,5445.0
263,900.0,E-11,7,6,5445.0
264,210.0,D-17,5,4,2722.51
265,250.0,G-13,5,4,2994.7609999999995
266,250.0,AGHOSH,10,10,5445.0
267,1075.0,F-10,8,7,76230.0
268,150.0,G-15,5,5,2178.008
269,135.0,G-13,4,4,1089.004
270,34.5,Khanna Pul,2,6,816.7529999999999
271,65.0,PWD Housing Scheme,2,2,9528.785
272,430.0,G-15,8,10,76230.0
273,90.0,Bhara kahu,6,6,1361.255
274,58.0,Kuri Road,3,4,1361.255
275,315.0,G-10,5,5,29675.359
276,107.0,Kuri Road,3,3,2178.008
277,65.0,Bhara kahu,2,3,1361.255
279,85.0,Shaheen Town,4,3,9801.036
280,65.0,PAEC Employees Cooperative Housing Society,4,2,1905.757
281,110.0,Kuri Road,3,3,2178.008
282,175.0,B-17,3,3,5445.0
283,225.0,G-10,5,4,1361.255
284,110.0,Shaheen Town,6,6,1905.757
285,120.0,CBR Town,5,5,1905.757
286,21.0,Ali Pur,3,3,816.7529999999999
287,395.0,DHA Defence,6,5,5445.0
289,140.0,G-13,5,4,11979.043999999998
290,38.0,Taramrri,5,4,816.7529999999999
291,130.0,G-13,5,5,11979.043999999998
292,1700.0,F-7,6,5,114345.0
293,425.0,Bahria Town,7,6,5445.0
294,430.0,Bahria Town,7,6,5445.0
295,420.0,Bahria Town,7,6,5445.0
296,225.0,Bahria Town,6,5,2722.51
297,380.0,Bahria Town,6,5,5445.0
298,625.0,Bani Gala,6,4,179685.0
301,450.0,DHA Defence,6,5,5445.0
302,650.0,F-10,6,6,5445.0
303,850.0,F-10,6,6,5445.0
304,650.0,F-10,5,5,5445.0
305,850.0,F-10,6,6,65340.0
306,400.0,H-13,8,8,98010.0
307,800.0,F-11,7,7,5445.0
308,325.0,G-13,9,8,2722.51
309,2000.0,F-8,9,8,70785.0
311,85.0,Chatha Bakhtawar,3,2,1361.255
312,115.0,Korang Town,5,4,1633.506
314,130.0,D-17,3,2,2994.7609999999995
315,45.0,Islamabad Expressway,6,6,816.7529999999999
316,425.0,G-10,7,7,3811.514
317,295.0,F-17,8,7,5445.0
318,48.0,Ghauri Town,3,2,1361.255
319,295.0,E-18,3,5,136125.0
321,245.0,G-11,5,4,2178.008
322,275.0,I-10,5,8,25319.343
323,42.0,Jhang Syedan,3,3,1361.255
324,260.0,Bahria Town,8,6,5445.0
325,130.0,Korang Town,4,5,1905.757
326,76.0,Bhara kahu,4,3,1905.757
327,230.0,G-8,4,5,1361.255
328,335.0,Bahria Town,4,3,70785.0
329,2600.0,F-6,8,8,10890.0
330,460.0,Bahria Town,9,7,59895.0
332,88.0,Shaheen Town,6,4,1361.255
333,75.0,Shaheen Town,3,2,2178.008
334,70.0,Lehtarar Road,6,4,1361.255
335,1400.0,F-7,5,4,70785.0
336,95.0,Bhara kahu,4,4,1633.506
337,320.0,G-13,8,7,2722.51
338,195.0,Golra Mor,6,6,2722.51
339,57.0,Taramrri,4,4,816.7529999999999
340,115.0,H-13,6,6,1361.255
342,65.0,G-12,6,11,2722.51
343,85.0,Shahpur,3,3,2722.51
345,142.0,Soan Garden,7,7,2722.51
346,71.0,FECHS,3,2,1905.757
348,85.0,Bani Gala,4,4,1633.506
349,250.0,Spring Valley,5,5,10890.0
350,350.0,Emaar Canyon Views,6,5,76230.0
352,73.0,D-17,4,4,1089.004
355,180.0,National Police Foundation,6,6,2722.51
356,825.0,F-10,6,6,59895.0
357,680.0,F-11,5,6,5445.0
358,100.0,Multi Residencia & Orchards,4,4,1905.757
359,140.0,Bahria Town,3,3,1361.255
360,75.0,Gulshan-e-Khudadad,3,3,15246.056
361,60.0,Jhangi Syedan,4,4,1361.255
362,575.0,F-11,9,7,4356.016
363,70.0,Ghauri Town,6,6,1089.004
364,300.0,National Police Foundation,6,6,5445.0
365,45.0,Bhara kahu,3,2,1633.506
366,50.0,Burma Town,3,2,1633.506
367,105.0,Soan Garden,4,3,2994.7609999999995
369,140.0,Bahria Town,3,3,1361.255
370,140.0,D-17,5,4,1633.506
371,425.0,DHA Defence,6,6,5445.0
372,135.0,Bahria Town,3,3,1905.757
373,165.0,G-15,6,6,1905.757
374,280.0,E-11,9,6,18240.817
375,425.0,Bahria Town,7,5,5445.0
376,180.0,Chak Shahzad,4,4,25319.343
377,350.0,G-15,8,6,2722.51
378,85.0,PWD Road,4,3,1361.255
379,450.0,DHA Defence,9,7,5445.0
380,450.0,DHA Defence,9,7,10890.0
381,400.0,G-9,4,4,38659.642
382,107.0,Kuri Road,3,3,2178.008
383,150.0,G-11,2,3,9801.036
384,300.0,Bahria Town,6,6,2722.51
385,185.0,Pakistan Town,10,9,2450.259
386,375.0,Korang Town,7,6,5445.0
387,93.0,H-13,4,4,1361.255
389,110.0,Jhangi Syedan,7,4,1361.255
390,150.0,Soan Garden,7,6,38659.642
391,95.0,Bhara kahu,4,4,1633.506
393,290.0,Kuri Road,4,4,5445.0
394,330.0,G-13,10,10,2994.7609999999995
395,120.0,Ghauri Town,5,7,1633.506
396,450.0,DHA Defence,6,6,5445.0
397,45.0,Jhangi Syedan,3,2,1089.004
398,135.0,FECHS,5,4,2994.7609999999995
399,265.0,PWD Housing Scheme,6,6,38659.642
400,590.0,I-8,7,7,2994.7609999999995
401,110.0,Meherban Colony,6,4,1361.255
402,20.0,Jhangi Syedan,1,3,6806.275
403,395.0,G-13,6,6,3811.514
404,150.0,G-13,4,4,1089.004
405,110.0,Pakistan Town,6,6,18240.817
406,168.0,Pakistan Town,8,7,2722.51
407,280.0,G-15,7,7,38659.642
408,500.0,G-13,6,6,3811.514
410,125.0,PWD Housing Scheme,6,5,25319.343
411,250.0,I-9,6,6,1633.506
412,120.0,Bhara kahu,3,4,5445.0
413,180.0,G-15,5,5,1905.757
414,110.0,Pakistan Town,5,5,18240.817
415,215.0,G-11,5,4,15246.056
417,85.0,Chatha Bakhtawar,6,4,1361.255
419,340.0,D-12,7,7,2994.7609999999995
420,290.0,Bahria Town,5,5,2722.51
421,90.0,H-13,4,4,1089.004
422,275.0,Kuri Road,4,4,5445.0
423,105.0,Kuri Road,3,3,2178.008
424,320.0,E-11,7,5,2178.008
425,55.0,Burma Town,3,3,1633.506
426,260.0,G-13,4,5,1905.757
427,800.0,E-11,8,6,5445.0
428,80.0,G-12,6,5,15246.056
429,225.0,Ghauri Town,9,7,2722.51
431,500.0,G-13,8,7,5445.0
432,470.0,DHA Defence,8,6,5445.0
433,258.0,DHA Defence,3,3,2722.51
434,135.0,FECHS,6,5,2178.008
435,130.0,Margalla Town,3,3,11979.043999999998
436,67.0,Bahria Town,2,2,1361.255
437,650.0,F-10,6,6,5445.0
438,655.0,F-10,6,6,5445.0
439,660.0,F-10,6,6,5445.0
440,665.0,F-10,6,6,5445.0
441,675.0,F-10,6,6,5445.0
442,670.0,F-10,6,6,5445.0
444,285.0,G-8,5,4,18240.817
445,130.0,Pakistan Town,6,5,2722.51
446,185.0,G-11,1,2,1361.255
447,61.0,Bani Gala,3,3,11434.542
449,68.0,Ghauri Town,3,2,1361.255
450,500.0,DHA Defence,6,6,5445.0
451,100.0,I-14,5,4,15246.056
452,70.0,Ghauri Town,3,2,1361.255
453,150.0,Pakistan Town,6,5,2722.51
454,180.0,Korang Town,5,5,26136.096
455,67.0,Koral Town,7,7,14973.804999999998
456,107.0,FECHS,5,4,2178.008
457,700.0,F-11,6,5,5445.0
458,200.0,G-11,2,2,2178.008
459,130.0,Soan Garden,5,4,1633.506
460,150.0,FECHS,7,5,2178.008
461,190.0,I-10,3,4,1633.506
462,525.0,D-12,9,7,29675.359
463,270.0,G-11,4,5,2178.008
464,350.0,G-13,6,7,2722.51
467,180.0,National Police Foundation,6,6,2722.51
468,28.85,Al Huda Town,2,3,816.7529999999999
469,890.0,F-11,9,7,5445.0
471,130.0,National Police Foundation,6,5,2722.51
472,115.0,Meherban Colony,6,6,1361.255
473,450.0,G-15,10,11,81675.0
474,54.9,Ali Pur,2,3,1633.506
475,140.0,Bahria Town,3,3,1361.255
476,90.0,E-16,5,5,1905.757
477,255.0,G-13,7,4,1905.757
478,200.0,G-8,4,4,15246.056
479,225.0,G-10,4,5,1633.506
480,180.0,National Police Foundation,6,6,2722.51
481,75.0,Ghauri Town,5,4,1089.004
482,90.0,I-13,5,6,1089.004
484,225.0,G-10,4,5,1633.506
485,48.0,Arsalan Town,2,2,1361.255
486,155.0,National Police Foundation O-9,4,4,2722.51
487,155.0,Pakistan Town,6,5,2994.7609999999995
488,155.0,PWD Housing Scheme,6,5,2722.51
489,80.0,Qutbal Town,5,6,1361.255
491,50.0,Alipur Farash,3,4,816.7529999999999
492,325.0,Bani Gala,5,4,2722.51
494,135.0,Soan Garden,6,4,1905.757
495,58.0,Koral Town,3,5,1361.255
496,150.0,I-10,3,4,1361.255
497,188.0,G-15,6,6,26952.849
498,245.0,DHA Defence,5,4,2722.51
499,335.0,Bahria Town,6,5,70785.0
500,70.0,Burma Town,6,8,1361.255
501,53.0,Ghauri Town,3,2,11979.043999999998
502,300.0,E-11,6,5,2722.51
503,85.0,Chak Shahzad,4,4,17696.315
504,75.0,Ghauri Town,5,4,1089.004
506,85.0,Ghauri Town,4,4,1361.255
507,140.0,Bhara kahu,6,6,2722.51
508,270.0,G-15,8,7,3811.514
510,80.0,C-18,3,3,2722.51
511,400.0,E-11,5,4,2178.008
512,140.0,FECHS,6,4,2450.259
513,130.0,F-17,4,4,1905.757
515,270.0,Pakistan Town,6,7,65340.0
517,58.0,Bhara kahu,3,2,1905.757
518,160.0,D-12,3,3,1089.004
519,180.0,Bani Gala,5,5,1633.506
520,95.0,Ghauri Town,6,6,1361.255
522,190.0,Soan Garden,6,6,33759.124
523,127.0,FECHS,6,5,1905.757
524,275.0,DHA Defence,5,4,29130.857
525,46.0,Arsalan Town,3,2,1361.255
526,140.0,F-10,4,4,816.7529999999999
527,360.0,Chak Shahzad,9,4,2722.51
528,225.0,E-11,5,5,2178.008
529,75.0,Royal City,5,5,15246.056
530,49.0,Alipur Farash,4,4,1633.506
531,265.0,Islamabad Highway,7,8,10890.0
533,145.0,CBR Town,7,6,2178.008
534,65.0,Airport Enclave,3,3,1361.255
535,90.0,Shaheen Town,4,4,20418.825
536,500.0,Emaar Canyon Views,6,5,65340.0
537,350.0,E-11,6,5,2178.008
539,78.0,Ghauri Town,5,4,1089.004
540,180.0,National Police Foundation,5,4,2722.51
541,180.0,National Police Foundation,6,7,2722.51
542,50.83,Koral Town,2,2,1089.004
543,1300.0,F-6,5,3,98010.0
545,750.0,F-10,5,5,5445.0
546,140.0,Bahria Town,4,3,1361.255
548,850.0,F-10,6,6,59895.0
549,280.0,G-11,7,7,2178.008
550,85.0,Soan Garden,4,4,1361.255
551,300.0,Korang Town,6,6,34848.128
552,285.0,G-8,5,4,18240.817
553,245.0,DHA Defence,5,4,3267.012
554,65.0,Ghauri Town,3,2,1361.255
555,160.0,FECHS,5,5,1905.757
556,95.0,National Police Foundation,4,4,1361.255
558,180.0,I-9,3,4,1905.757
559,650.0,Bani Gala,10,9,98010.0
560,115.0,Kuri Road,3,3,2178.008
561,115.0,Kuri Road,3,3,2178.008
562,42.0,Burma Town,2,2,9528.785
563,160.0,G-11,3,4,1089.004
564,800.0,F-10,3,3,5445.0
565,39.0,Ali Pur,2,3,816.7529999999999
566,110.0,Kuri Road,3,3,2178.008
567,85.0,Spring Valley,6,7,2178.008
568,40.0,H-13,5,5,7623.027999999999
569,65.0,Bani Gala,3,4,12251.294999999998
570,125.0,G-11,1,2,11979.043999999998
571,49.0,Ghauri Town,3,2,1361.255
572,210.0,Islamabad - Murree Expressway,3,3,2178.008
573,250.0,Bahria Town,6,4,2722.51
574,450.0,DHA Defence,6,6,5445.0
575,53.0,Ghauri Town,2,2,1089.004
576,140.0,IJP Road,6,6,1361.255
577,140.0,D-17,4,4,1633.506
578,415.0,Bani Gala,6,6,10890.0
580,142.0,G-13,5,3,1089.004
581,85.0,Iqbal Town,4,6,1361.255
582,150.0,G-13,4,4,1089.004
583,150.0,G-13,4,4,1089.004
585,150.0,D-13,4,4,4628.267
586,65.0,Madina Town,6,5,1633.506
587,182.0,G-15,5,5,2178.008
588,285.0,G-11,4,4,1905.757
589,170.0,H-13,6,6,3539.263
590,200.0,G-8,4,4,15246.056
591,175.0,Bhara kahu,10,11,5445.0
592,395.0,DHA Defence,9,8,5445.0
593,355.0,DHA Defence,6,5,5445.0
595,1000.0,F-7,5,4,59895.0
596,280.0,Emaar Canyon Views,5,5,81675.0
598,70.0,Wapda Town,4,4,2722.51
599,250.0,Bhara kahu,5,5,81675.0
600,300.0,Bahria Town,6,5,2994.7609999999995
601,1800.0,G-6,6,6,114345.0
602,2900.0,F-7,9,9,10890.0
603,2200.0,F-8,9,7,98010.0
604,1350.0,F-7,9,8,5445.0
605,140.0,Bahria Town,3,3,1361.255
606,2800.0,F-7,6,6,21780.0
607,470.0,DHA Defence,8,6,5445.0
608,50.0,Chatha Bakhtawar,2,2,9528.785
609,250.0,Bahria Town,5,4,2722.51
610,58.0,DHA Defence,3,3,2178.008
611,290.0,G-13,6,5,3267.012
612,130.0,FECHS,4,4,1905.757
613,280.0,G-15,7,7,38659.642
615,130.0,Bani Gala,4,4,3811.514
617,40.0,Ghauri Town,2,2,816.7529999999999
618,230.0,I-9,4,5,1905.757
619,36.0,Taramrri,3,3,6806.275
620,360.0,G-8,5,4,2450.259
621,38.0,H-13,4,5,7623.027999999999
622,70.0,Bhara kahu,6,5,1361.255
623,210.0,Bahria Town,6,5,2722.51
624,137.0,Bahria Town,3,3,1361.255
625,475.0,G-10,7,7,38659.642
626,160.0,H-13,7,7,2722.51
627,48.0,Ghauri Town,2,2,1089.004
628,150.0,Ghauri Town,7,9,18240.817
629,1900.0,F-7,7,6,114345.0
630,2995.0,F-7,7,6,10890.0
631,150.0,I-10,6,4,1361.255
632,85.0,Soan Garden,2,2,1633.506
633,460.0,E-11,6,6,43287.909
634,350.0,G-10,6,5,2450.259
635,325.0,Rawal Town,3,4,3267.012
636,285.0,G-8,4,4,1633.506
637,210.0,G-11,4,4,2178.008
638,500.0,G-11,6,6,3267.012
639,250.0,G-13,6,6,2178.008
641,308.0,E-11,5,4,2722.51
642,308.0,E-11,5,4,2722.51
643,385.0,G-9,3,5,38659.642
644,220.0,G-8,3,3,1633.506
645,290.0,Ali Pur,6,6,4900.518
646,480.0,DHA Defence,6,6,5445.0
647,150.0,H-13,4,5,2178.008
648,450.0,DHA Defence,6,5,5445.0
649,48.0,DHA Defence,3,3,2178.008
650,160.0,Soan Garden,6,6,2722.51
651,500.0,DHA Defence,7,7,10890.0
652,150.0,Bhara kahu,1,3,81675.0
653,90.0,Bani Gala,4,4,1361.255
654,165.0,G-11,3,4,1089.004
655,235.0,G-13,5,4,1905.757
656,145.0,Bahria Town,3,3,1361.255
657,150.0,Korang Town,3,3,29130.857
658,340.0,G-9,4,7,2722.51
659,135.0,Pakistan Town,6,6,2722.51
660,450.0,DHA Defence,7,5,5445.0
662,760.0,E-11,7,6,5445.0
663,220.0,Bahria Town,4,4,2178.008
664,1700.0,F-10,10,7,10890.0
665,30.0,H-13,2,2,816.7529999999999
666,64.0,H-13,4,4,1361.255
667,85.0,Khanna Pul,6,4,1361.255
668,1900.0,F-6,6,6,125235.0
669,30.0,Arsalan Town,3,3,15246.056
670,150.0,Ghauri Town,9,7,1905.757
672,275.0,Bahria Town,6,5,2994.7609999999995
673,50.0,D-13,4,4,1361.255
674,320.0,E-11,6,5,2178.008
675,620.0,E-11,10,11,5445.0
676,38.0,Ghauri Town,3,2,1633.506
677,95.0,Ghauri Town,4,4,1361.255
678,320.0,Naval Anchorage,6,5,5445.0
679,275.0,Bahria Town,5,4,3267.012
681,165.0,Soan Garden,8,7,2722.51
682,270.0,G-11,4,4,1905.757
683,1750.0,F-10,10,7,130680.0
684,250.0,G-11,5,5,1361.255
685,110.0,H-13,7,7,1905.757
686,82.0,Ghauri Town,3,4,1361.255
687,80.0,Qutbal Town,4,3,2722.51
688,110.0,Bhara kahu,6,4,1905.757
689,140.0,PWD Housing Scheme,5,5,25319.343
690,80.0,Shahpur,4,4,1361.255
691,190.0,B-17,5,4,4083.765
692,300.0,G-15,9,6,3267.012
693,360.0,G-9,9,9,18240.817
694,31.0,Islamabad - Murree Expressway,3,3,1089.004
695,190.0,Emaar Canyon Views,3,3,3539.263
696,199.0,Emaar Canyon Views,3,3,32942.371
697,450.0,Bani Gala,7,7,65340.0
698,495.0,D-12,6,4,2994.7609999999995
699,190.0,Ghauri Town,8,7,2722.51
700,50.0,Shaheen Town,3,3,1361.255
701,115.0,H-13,5,4,2722.51
702,275.0,Bahria Town,5,4,2722.51
703,89.0,National Police Foundation O-9,5,3,1361.255
704,115.0,H-13,5,4,1905.757
707,175.0,Bani Gala,5,4,2722.51
708,148.0,G-11,2,2,15246.056
709,165.0,F-17,6,5,1905.757
711,39.0,Alipur Farash,2,2,816.7529999999999
712,30.0,DHA Defence,2,2,1361.255
713,142.0,FECHS,7,5,2178.008
714,45.0,Taramrri,3,2,1361.255
715,95.0,I-14,2,2,1361.255
716,240.0,G-13,4,5,1905.757
717,135.0,Green Avenue,6,4,1361.255
719,625.0,E-11,5,5,65340.0
720,152.0,G-13,5,4,11979.043999999998
721,225.0,E-11,6,5,17696.315
722,165.0,D-17,7,7,2450.259
723,140.0,Soan Garden,7,4,2178.008
724,775.0,G-11,7,6,5445.0
726,70.0,Islamabad - Murree Expressway,4,4,1089.004
727,42.0,Frash Town,4,5,816.7529999999999
